age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,previous,y
30to39,admin,married,tertiary,yes,no,cellular,summer,thu,lt100,eq2,no,no
ge50,services,married,secondary,yes,no,cellular,summer,tue,ge320,gt2,no,no
30to39,management,married,tertiary,no,no,cellular,summer,fri,lt100,gt2,no,no
40to49,admin,married,tertiary,yes,yes,cellular,summer,thu,ge320,eq1,no,no
lt30,student,single,tertiary,no,no,telephone,summer,tue,100to179,gt2,no,no
30to39,technician,married,secondary,no,no,cellular,summer,wed,100to179,eq1,no,no
40to49,management,married,tertiary,no,yes,cellular,autum,wed,100to179,eq1,yes,no
ge50,admin,married,tertiary,yes,no,cellular,spring,mon,180to319,eq2,yes,no
40to49,bluecollar,married,primary,yes,no,cellular,spring,mon,lt100,gt2,yes,no
40to49,bluecollar,married,primary,yes,no,cellular,spring,wed,100to179,eq1,yes,no
30to39,technician,single,tertiary,yes,no,cellular,summer,tue,ge320,eq2,no,no
ge50,bluecollar,married,primary,yes,no,cellular,spring,mon,100to179,eq2,no,no
30to39,services,single,secondary,no,no,cellular,spring,fri,180to319,eq2,yes,no
40to49,technician,married,primary,no,yes,telephone,spring,tue,180to319,eq1,no,no
30to39,bluecollar,married,primary,yes,no,telephone,spring,thu,100to179,gt2,no,no
30to39,bluecollar,married,primary,yes,no,telephone,summer,tue,180to319,eq2,no,no
ge50,admin,married,tertiary,yes,no,cellular,autum,tue,ge320,eq2,no,yes
lt30,bluecollar,single,secondary,no,no,cellular,spring,mon,100to179,eq2,yes,no
ge50,admin,married,tertiary,no,no,cellular,summer,mon,100to179,eq1,no,no
30to39,technician,married,tertiary,no,no,telephone,spring,wed,ge320,eq1,no,no
ge50,bluecollar,married,secondary,no,no,telephone,summer,mon,ge320,gt2,no,yes
lt30,selfemployed,married,tertiary,yes,no,cellular,spring,thu,ge320,eq1,no,no
30to39,selfemployed,married,primary,no,no,telephone,summer,tue,180to319,eq1,no,no
40to49,housemaid,married,secondary,yes,no,telephone,summer,thu,lt100,eq1,no,no
lt30,technician,single,tertiary,yes,yes,telephone,spring,tue,180to319,eq2,no,no
40to49,admin,single,tertiary,yes,no,cellular,summer,tue,100to179,eq1,yes,yes
ge50,retired,married,tertiary,no,no,telephone,spring,wed,lt100,gt2,no,no
ge50,entrepreneur,divorced,tertiary,yes,no,telephone,spring,mon,100to179,eq2,no,no
40to49,selfemployed,married,tertiary,no,no,cellular,spring,fri,ge320,gt2,no,no
ge50,bluecollar,married,primary,yes,yes,telephone,summer,mon,180to319,eq1,no,no
ge50,admin,married,primary,yes,no,cellular,summer,tue,100to179,eq2,yes,no
30to39,selfemployed,divorced,tertiary,yes,no,telephone,summer,wed,180to319,gt2,no,no
40to49,admin,married,primary,yes,no,cellular,spring,fri,lt100,eq2,yes,no
30to39,admin,single,secondary,no,no,cellular,summer,thu,180to319,eq1,no,no
lt30,technician,single,tertiary,yes,no,cellular,winter,tue,100to179,eq1,yes,no
30to39,bluecollar,single,secondary,yes,yes,cellular,autum,thu,ge320,eq2,no,no
30to39,technician,single,tertiary,yes,no,telephone,spring,wed,lt100,gt2,no,no
ge50,entrepreneur,married,primary,no,no,cellular,autum,mon,100to179,eq2,no,no
ge50,bluecollar,married,primary,yes,yes,telephone,spring,tue,100to179,eq1,no,no
ge50,retired,married,primary,no,no,telephone,summer,wed,180to319,gt2,no,no
lt30,services,married,secondary,yes,no,telephone,spring,wed,lt100,eq2,no,no
30to39,services,single,primary,yes,no,telephone,spring,wed,180to319,eq1,no,no
40to49,management,married,tertiary,yes,yes,cellular,autum,mon,100to179,eq1,no,no
30to39,admin,single,secondary,no,no,cellular,spring,thu,lt100,eq2,yes,no
lt30,student,single,primary,no,yes,cellular,spring,wed,180to319,eq1,no,no
lt30,technician,single,tertiary,no,no,cellular,spring,thu,180to319,eq1,no,no
40to49,technician,married,tertiary,yes,no,cellular,summer,tue,100to179,eq1,no,no
lt30,bluecollar,single,primary,no,no,cellular,spring,fri,180to319,eq2,no,no
30to39,admin,single,tertiary,yes,no,cellular,summer,tue,100to179,eq1,no,no
40to49,bluecollar,married,primary,no,no,cellular,spring,fri,ge320,eq2,no,yes
lt30,services,single,tertiary,no,no,cellular,summer,mon,180to319,eq1,yes,yes
ge50,retired,single,tertiary,yes,no,telephone,summer,thu,ge320,gt2,no,no
30to39,bluecollar,married,primary,no,yes,cellular,spring,wed,180to319,eq1,no,no
ge50,retired,married,primary,yes,no,cellular,autum,fri,ge320,eq2,no,yes
lt30,student,single,primary,yes,no,cellular,spring,tue,100to179,eq1,no,no
40to49,admin,divorced,tertiary,yes,no,telephone,spring,mon,100to179,eq1,no,no
40to49,bluecollar,married,primary,yes,no,cellular,summer,tue,100to179,eq2,no,no
40to49,admin,divorced,tertiary,yes,no,cellular,autum,fri,lt100,gt2,yes,no
40to49,admin,married,tertiary,no,no,cellular,summer,tue,lt100,gt2,no,no
30to39,admin,single,secondary,no,no,cellular,spring,tue,100to179,gt2,no,no
30to39,bluecollar,married,primary,yes,no,cellular,summer,thu,180to319,gt2,no,no
30to39,admin,married,tertiary,no,no,telephone,spring,thu,lt100,eq1,no,no
40to49,bluecollar,married,primary,no,no,telephone,spring,thu,100to179,eq1,no,no
ge50,retired,married,tertiary,yes,yes,cellular,summer,mon,100to179,gt2,no,no
30to39,bluecollar,married,primary,yes,no,telephone,spring,mon,lt100,gt2,no,no
40to49,bluecollar,married,primary,yes,no,cellular,autum,thu,100to179,gt2,no,no
ge50,management,married,secondary,yes,no,telephone,spring,wed,lt100,eq1,no,no
30to39,admin,single,secondary,no,no,cellular,autum,wed,ge320,eq1,no,no
30to39,services,single,secondary,yes,no,cellular,spring,thu,180to319,eq1,no,no
ge50,management,married,tertiary,yes,no,cellular,summer,thu,180to319,eq1,no,no
30to39,admin,married,secondary,yes,no,telephone,summer,fri,lt100,gt2,no,no
ge50,retired,married,tertiary,no,no,cellular,winter,thu,100to179,eq1,yes,no
40to49,admin,married,tertiary,yes,yes,cellular,summer,wed,lt100,eq1,no,no
30to39,admin,single,secondary,yes,no,cellular,spring,wed,180to319,eq1,yes,no
30to39,selfemployed,married,primary,no,no,cellular,spring,wed,180to319,eq1,yes,no
30to39,admin,single,tertiary,yes,no,cellular,spring,tue,100to179,gt2,yes,no
30to39,bluecollar,married,primary,no,no,telephone,spring,wed,ge320,gt2,yes,no
lt30,services,single,tertiary,no,no,telephone,spring,thu,180to319,gt2,no,no
30to39,technician,married,tertiary,yes,yes,cellular,spring,thu,100to179,eq2,no,no
40to49,admin,married,tertiary,yes,no,telephone,summer,wed,100to179,gt2,no,no
30to39,bluecollar,single,primary,yes,no,telephone,spring,fri,lt100,gt2,no,no
30to39,admin,divorced,tertiary,no,no,cellular,spring,wed,180to319,eq1,yes,no
ge50,entrepreneur,married,tertiary,no,no,cellular,spring,mon,lt100,eq1,no,no
30to39,technician,married,tertiary,yes,no,cellular,autum,mon,lt100,eq2,yes,no
30to39,bluecollar,married,primary,no,no,cellular,summer,mon,180to319,eq1,no,no
40to49,admin,married,tertiary,no,no,telephone,spring,tue,lt100,gt2,no,no
lt30,technician,married,tertiary,no,no,cellular,summer,thu,lt100,eq1,no,no
40to49,admin,married,secondary,yes,no,cellular,summer,thu,ge320,eq1,no,yes
ge50,management,married,tertiary,yes,yes,cellular,autum,mon,100to179,eq2,no,no
ge50,bluecollar,married,primary,yes,no,telephone,summer,tue,lt100,gt2,no,no
40to49,technician,married,tertiary,yes,no,cellular,spring,tue,180to319,eq2,no,no
30to39,bluecollar,married,primary,no,no,cellular,spring,fri,ge320,eq1,no,yes
ge50,technician,divorced,tertiary,no,no,telephone,summer,thu,ge320,gt2,no,no
ge50,admin,married,tertiary,no,yes,telephone,spring,mon,180to319,eq1,no,no
30to39,bluecollar,married,primary,yes,yes,telephone,summer,mon,180to319,eq1,no,no
ge50,retired,married,secondary,no,no,telephone,spring,wed,180to319,eq2,no,no
40to49,admin,single,tertiary,no,no,cellular,summer,tue,lt100,gt2,no,no
lt30,admin,married,tertiary,no,no,telephone,summer,mon,lt100,eq1,no,no
30to39,housemaid,married,primary,yes,no,telephone,summer,mon,lt100,gt2,no,no
lt30,admin,married,secondary,no,no,cellular,summer,thu,lt100,eq1,no,no
ge50,admin,divorced,tertiary,no,no,telephone,spring,mon,180to319,eq1,no,no
ge50,admin,married,tertiary,yes,no,cellular,summer,wed,ge320,eq2,no,yes
lt30,admin,married,secondary,no,yes,cellular,summer,tue,100to179,gt2,no,no
30to39,services,married,secondary,yes,no,telephone,spring,mon,lt100,eq2,no,no
40to49,admin,married,primary,yes,yes,telephone,spring,tue,100to179,gt2,no,no
40to49,housemaid,married,primary,yes,no,cellular,summer,wed,180to319,eq1,no,no
40to49,retired,married,primary,no,no,telephone,summer,wed,100to179,gt2,no,no
30to39,bluecollar,single,primary,yes,no,cellular,spring,mon,180to319,gt2,no,no
40to49,technician,single,primary,yes,no,telephone,summer,thu,100to179,gt2,no,no
30to39,technician,single,tertiary,no,no,cellular,summer,mon,180to319,eq2,no,no
40to49,selfemployed,married,tertiary,yes,no,cellular,summer,wed,180to319,eq1,no,no
30to39,admin,divorced,secondary,yes,no,cellular,spring,thu,ge320,eq1,no,no
40to49,admin,married,primary,yes,yes,telephone,spring,wed,180to319,eq2,no,no
30to39,management,married,tertiary,no,no,telephone,spring,tue,ge320,gt2,no,no
30to39,management,single,tertiary,yes,yes,cellular,spring,wed,ge320,eq1,no,yes
30to39,technician,married,tertiary,no,no,cellular,summer,wed,180to319,eq1,no,no
30to39,bluecollar,married,primary,yes,no,telephone,spring,tue,ge320,gt2,no,no
30to39,bluecollar,single,primary,yes,yes,cellular,spring,wed,180to319,eq1,yes,no
30to39,technician,married,secondary,no,no,telephone,summer,fri,180to319,eq1,no,yes
lt30,bluecollar,single,primary,no,no,cellular,summer,wed,ge320,eq1,no,yes
40to49,housemaid,married,primary,no,no,cellular,summer,wed,lt100,eq1,no,no
40to49,technician,married,tertiary,no,yes,cellular,autum,fri,lt100,gt2,no,no
40to49,admin,single,secondary,no,no,cellular,summer,wed,180to319,gt2,no,no
30to39,technician,single,tertiary,no,no,telephone,spring,wed,100to179,gt2,no,no
40to49,technician,married,tertiary,no,no,cellular,summer,tue,100to179,eq1,no,no
40to49,admin,single,primary,yes,no,telephone,spring,tue,100to179,eq2,no,no
ge50,retired,married,primary,yes,no,cellular,summer,tue,180to319,eq2,no,no
30to39,bluecollar,married,secondary,no,no,cellular,summer,wed,180to319,eq2,no,no
ge50,technician,married,tertiary,yes,no,cellular,autum,thu,100to179,eq1,no,no
30to39,admin,married,tertiary,yes,no,cellular,summer,mon,100to179,eq2,no,no
ge50,admin,married,tertiary,yes,no,cellular,summer,thu,100to179,eq1,no,no
30to39,bluecollar,married,primary,no,no,cellular,summer,thu,ge320,eq1,no,no
40to49,bluecollar,married,primary,yes,no,telephone,spring,mon,lt100,gt2,no,no
40to49,technician,married,tertiary,yes,no,cellular,summer,thu,lt100,eq2,no,no
40to49,services,married,secondary,yes,yes,cellular,summer,mon,100to179,gt2,no,no
40to49,bluecollar,married,primary,no,no,telephone,spring,mon,ge320,gt2,no,no
40to49,technician,married,tertiary,yes,no,telephone,winter,mon,ge320,eq1,no,yes
30to39,services,married,secondary,no,no,telephone,spring,tue,100to179,eq1,no,no
lt30,bluecollar,single,primary,yes,no,cellular,summer,thu,180to319,eq1,no,no
30to39,admin,single,tertiary,no,no,cellular,autum,thu,100to179,eq2,yes,no
ge50,management,divorced,tertiary,no,no,telephone,spring,mon,lt100,gt2,no,no
30to39,housemaid,married,primary,no,no,cellular,summer,wed,ge320,eq2,no,no
30to39,admin,divorced,tertiary,yes,no,cellular,summer,thu,180to319,eq1,no,no
lt30,bluecollar,single,primary,yes,no,cellular,spring,thu,180to319,eq1,no,no
40to49,entrepreneur,married,primary,no,no,telephone,summer,fri,ge320,eq1,no,no
ge50,admin,married,secondary,no,no,cellular,spring,thu,ge320,eq1,yes,yes
30to39,admin,single,tertiary,no,no,cellular,summer,thu,lt100,eq1,yes,yes
30to39,admin,single,secondary,yes,no,telephone,summer,mon,180to319,eq2,no,no
ge50,management,married,tertiary,yes,no,telephone,spring,tue,lt100,eq2,no,no
30to39,bluecollar,single,primary,yes,no,telephone,spring,fri,100to179,gt2,no,no
30to39,bluecollar,married,primary,yes,no,cellular,spring,mon,180to319,gt2,no,no
40to49,technician,married,tertiary,yes,yes,cellular,summer,mon,180to319,eq2,no,no
40to49,technician,married,secondary,no,no,telephone,spring,fri,180to319,gt2,no,no
30to39,technician,married,tertiary,yes,yes,cellular,spring,mon,ge320,eq1,no,yes
30to39,technician,single,tertiary,no,no,telephone,summer,tue,180to319,eq1,no,no
30to39,services,married,secondary,no,no,cellular,spring,wed,180to319,eq1,yes,no
ge50,bluecollar,married,secondary,no,no,telephone,summer,wed,180to319,gt2,no,no
30to39,admin,single,tertiary,yes,no,cellular,autum,thu,lt100,eq1,yes,yes
40to49,services,married,secondary,no,no,telephone,spring,wed,100to179,eq2,no,no
40to49,admin,single,tertiary,yes,no,cellular,summer,mon,ge320,eq2,no,yes
40to49,selfemployed,married,tertiary,yes,no,cellular,spring,thu,100to179,eq2,no,no
ge50,technician,married,tertiary,yes,no,cellular,autum,fri,lt100,gt2,no,no
lt30,management,single,tertiary,yes,no,cellular,summer,mon,lt100,gt2,no,no
40to49,technician,married,secondary,yes,no,telephone,spring,fri,ge320,gt2,no,no
30to39,unemployed,married,tertiary,yes,no,cellular,summer,mon,100to179,gt2,no,no
30to39,management,single,primary,yes,no,cellular,summer,thu,ge320,eq1,no,no
30to39,entrepreneur,divorced,secondary,yes,no,telephone,summer,wed,100to179,gt2,no,no
40to49,admin,single,tertiary,no,no,cellular,summer,thu,ge320,eq1,yes,no
30to39,technician,married,tertiary,no,yes,telephone,spring,tue,lt100,eq1,no,no
30to39,management,married,tertiary,no,yes,telephone,spring,fri,lt100,eq1,no,no
40to49,admin,divorced,tertiary,yes,no,telephone,summer,fri,ge320,gt2,no,yes
lt30,services,single,secondary,no,no,telephone,spring,fri,ge320,eq2,no,no
lt30,services,single,secondary,yes,no,telephone,spring,mon,lt100,eq1,no,no
ge50,retired,married,primary,no,no,telephone,spring,mon,180to319,eq2,no,no
30to39,admin,married,secondary,yes,no,cellular,autum,mon,100to179,gt2,yes,no
30to39,bluecollar,married,primary,yes,yes,cellular,spring,wed,ge320,gt2,no,no
lt30,admin,single,tertiary,no,yes,cellular,summer,thu,100to179,eq1,no,no
lt30,bluecollar,married,primary,yes,no,telephone,spring,wed,100to179,eq1,no,no
30to39,services,married,secondary,no,no,telephone,spring,thu,lt100,gt2,no,no
30to39,student,single,tertiary,yes,no,cellular,spring,mon,ge320,gt2,no,yes
40to49,services,divorced,secondary,no,no,cellular,spring,wed,lt100,eq2,no,no
lt30,technician,single,tertiary,no,no,telephone,summer,thu,ge320,eq2,no,yes
lt30,bluecollar,married,primary,yes,no,cellular,spring,thu,180to319,eq1,no,no
30to39,unemployed,married,secondary,no,no,cellular,summer,mon,lt100,gt2,no,no
lt30,services,married,secondary,yes,no,cellular,autum,thu,ge320,gt2,no,no
lt30,admin,divorced,secondary,yes,no,cellular,summer,thu,100to179,eq2,no,no
ge50,unemployed,divorced,tertiary,yes,no,telephone,summer,tue,ge320,gt2,no,no
ge50,technician,divorced,tertiary,yes,no,cellular,summer,thu,180to319,eq1,no,no
ge50,admin,married,tertiary,no,no,telephone,summer,wed,ge320,gt2,no,yes
ge50,retired,single,tertiary,no,no,cellular,autum,fri,ge320,gt2,no,no
ge50,admin,married,tertiary,no,no,telephone,spring,wed,180to319,eq1,no,no
40to49,unemployed,married,primary,yes,no,telephone,spring,mon,100to179,gt2,no,no
ge50,retired,married,primary,yes,no,telephone,summer,tue,ge320,gt2,no,no
30to39,bluecollar,single,primary,yes,no,telephone,summer,thu,lt100,gt2,no,no
40to49,bluecollar,married,primary,yes,no,telephone,summer,mon,ge320,eq1,no,yes
30to39,services,married,secondary,yes,no,telephone,autum,thu,lt100,eq1,no,no
ge50,management,married,tertiary,yes,no,cellular,summer,mon,180to319,eq1,no,no
lt30,services,married,secondary,no,no,telephone,spring,wed,ge320,eq2,no,no
30to39,admin,married,tertiary,yes,no,telephone,spring,tue,180to319,eq1,no,no
40to49,bluecollar,single,primary,no,no,telephone,spring,thu,100to179,eq2,no,no
30to39,bluecollar,single,primary,yes,no,telephone,spring,mon,ge320,eq2,no,no
40to49,bluecollar,married,primary,yes,no,cellular,spring,thu,180to319,eq1,no,no
ge50,retired,married,secondary,yes,no,telephone,spring,tue,180to319,eq2,no,no
lt30,selfemployed,single,tertiary,yes,no,cellular,summer,tue,180to319,gt2,no,no
30to39,admin,single,tertiary,yes,no,cellular,autum,thu,180to319,eq2,no,no
30to39,admin,married,tertiary,yes,no,cellular,autum,fri,180to319,eq1,no,no
30to39,admin,single,tertiary,no,no,telephone,summer,mon,180to319,eq1,no,no
lt30,bluecollar,single,secondary,yes,no,telephone,spring,thu,180to319,eq1,no,no
lt30,management,single,tertiary,yes,no,cellular,summer,thu,100to179,eq1,no,yes
40to49,admin,divorced,tertiary,no,no,telephone,summer,fri,lt100,eq2,no,no
30to39,bluecollar,married,primary,no,no,telephone,spring,wed,180to319,eq2,no,no
lt30,admin,married,tertiary,no,no,cellular,spring,mon,lt100,eq1,no,no
30to39,admin,married,secondary,no,no,cellular,spring,thu,lt100,gt2,no,no
40to49,technician,married,tertiary,no,no,cellular,summer,mon,lt100,gt2,no,no
40to49,technician,married,tertiary,yes,no,telephone,summer,wed,lt100,eq1,no,no
30to39,bluecollar,married,primary,yes,no,telephone,summer,fri,lt100,gt2,no,no
ge50,management,married,tertiary,no,no,telephone,summer,mon,ge320,gt2,no,no
lt30,admin,single,secondary,yes,no,cellular,spring,thu,ge320,eq2,no,yes
lt30,admin,married,tertiary,no,no,cellular,spring,fri,180to319,gt2,no,yes
ge50,admin,married,tertiary,no,no,telephone,spring,wed,180to319,eq2,no,no
40to49,services,married,secondary,yes,no,cellular,spring,wed,ge320,eq2,no,yes
40to49,admin,married,secondary,yes,no,cellular,spring,wed,ge320,eq1,no,no
40to49,admin,single,primary,yes,no,cellular,summer,mon,ge320,eq1,no,no
ge50,technician,married,tertiary,no,no,cellular,autum,tue,lt100,eq2,no,no
lt30,services,single,secondary,no,no,cellular,spring,thu,100to179,eq1,no,no
30to39,admin,married,tertiary,no,no,cellular,autum,tue,ge320,eq1,no,yes
40to49,bluecollar,married,primary,yes,no,cellular,spring,fri,ge320,eq1,no,no
40to49,bluecollar,married,primary,yes,no,cellular,spring,wed,100to179,eq1,no,no
30to39,services,married,secondary,no,yes,cellular,spring,wed,100to179,eq1,no,no
lt30,technician,single,tertiary,yes,yes,telephone,spring,fri,ge320,eq1,no,no
ge50,retired,married,tertiary,yes,no,cellular,summer,fri,180to319,eq2,no,no
40to49,bluecollar,married,secondary,yes,no,cellular,spring,fri,lt100,eq1,yes,no
40to49,selfemployed,married,primary,yes,no,telephone,spring,tue,ge320,eq2,no,no
30to39,services,married,secondary,no,no,cellular,summer,wed,lt100,eq1,no,no
lt30,admin,married,tertiary,yes,no,cellular,summer,mon,ge320,eq1,no,no
40to49,services,married,tertiary,yes,no,cellular,summer,mon,ge320,eq1,no,no
40to49,bluecollar,single,primary,yes,no,telephone,summer,mon,lt100,eq1,no,no
30to39,management,married,secondary,no,no,cellular,summer,thu,lt100,gt2,no,no
ge50,retired,married,tertiary,yes,no,cellular,autum,thu,ge320,eq1,yes,yes
30to39,entrepreneur,married,tertiary,yes,no,cellular,summer,fri,ge320,eq1,yes,yes
30to39,entrepreneur,married,secondary,no,no,cellular,summer,mon,100to179,gt2,no,no
40to49,bluecollar,married,primary,no,no,telephone,spring,thu,ge320,eq1,no,yes
30to39,technician,married,tertiary,no,no,cellular,summer,wed,lt100,eq1,no,no
lt30,technician,married,tertiary,no,no,cellular,summer,thu,100to179,gt2,no,no
ge50,retired,married,secondary,yes,no,cellular,summer,fri,100to179,eq1,no,no
30to39,services,married,primary,no,no,cellular,autum,tue,100to179,eq1,no,no
30to39,admin,married,tertiary,yes,no,telephone,summer,fri,lt100,gt2,no,no
30to39,technician,single,tertiary,no,no,cellular,summer,fri,lt100,gt2,no,no
40to49,entrepreneur,single,tertiary,yes,no,cellular,spring,fri,180to319,eq2,no,no
ge50,admin,divorced,primary,yes,no,telephone,spring,thu,lt100,gt2,no,no
lt30,management,single,tertiary,yes,no,cellular,summer,thu,100to179,eq1,no,no
30to39,bluecollar,married,primary,no,yes,cellular,spring,thu,ge320,eq1,no,no
40to49,selfemployed,married,tertiary,no,yes,telephone,summer,wed,ge320,eq1,no,no
30to39,services,single,secondary,no,no,cellular,spring,fri,180to319,eq1,no,no
30to39,admin,married,secondary,no,no,cellular,autum,tue,180to319,gt2,yes,no
30to39,selfemployed,divorced,secondary,no,no,telephone,spring,tue,180to319,eq1,no,no
lt30,services,single,secondary,yes,no,cellular,summer,fri,100to179,eq2,no,no
ge50,retired,married,primary,yes,no,cellular,summer,wed,100to179,eq1,no,yes
40to49,management,married,tertiary,yes,no,cellular,summer,tue,180to319,eq1,no,no
lt30,technician,single,secondary,yes,no,cellular,summer,tue,ge320,eq1,no,no
40to49,management,married,primary,no,no,telephone,spring,wed,ge320,eq2,no,no
30to39,admin,divorced,tertiary,yes,no,cellular,autum,fri,lt100,gt2,yes,no
40to49,admin,divorced,tertiary,yes,no,cellular,summer,thu,100to179,gt2,no,no
30to39,bluecollar,married,primary,yes,no,telephone,spring,tue,ge320,eq2,no,no
30to39,admin,married,tertiary,yes,yes,cellular,spring,mon,180to319,eq2,no,no
lt30,bluecollar,single,primary,yes,no,cellular,summer,mon,180to319,gt2,no,no
30to39,services,married,secondary,yes,no,cellular,autum,fri,lt100,eq2,no,no
30to39,bluecollar,married,primary,yes,no,telephone,spring,mon,180to319,eq1,yes,no
30to39,management,married,tertiary,no,no,cellular,autum,mon,180to319,eq2,no,no
lt30,admin,single,secondary,no,no,telephone,summer,thu,ge320,gt2,no,no
30to39,admin,divorced,secondary,yes,no,cellular,autum,wed,100to179,eq2,no,no
ge50,admin,married,primary,yes,no,cellular,summer,tue,100to179,gt2,no,no
40to49,technician,divorced,tertiary,no,yes,cellular,summer,fri,100to179,gt2,no,no
lt30,technician,single,tertiary,no,yes,cellular,spring,mon,100to179,gt2,no,no
30to39,management,married,primary,no,no,telephone,summer,wed,180to319,eq2,no,no
ge50,management,divorced,tertiary,no,no,telephone,summer,tue,lt100,eq1,no,no
lt30,services,single,primary,yes,no,cellular,summer,wed,180to319,eq1,no,no
30to39,admin,single,tertiary,no,no,telephone,summer,tue,lt100,eq1,no,no
30to39,services,married,primary,no,no,cellular,spring,mon,ge320,eq2,yes,yes
30to39,technician,married,tertiary,yes,no,cellular,summer,wed,180to319,eq1,yes,yes
30to39,bluecollar,married,primary,yes,no,cellular,spring,mon,180to319,eq1,no,no
40to49,bluecollar,married,primary,no,no,telephone,spring,mon,ge320,eq1,no,no
30to39,admin,single,tertiary,yes,yes,cellular,spring,thu,ge320,gt2,no,no
30to39,services,married,primary,yes,no,telephone,spring,thu,lt100,eq1,no,no
30to39,admin,married,tertiary,no,no,cellular,autum,thu,ge320,eq1,no,yes
30to39,technician,married,primary,no,yes,telephone,summer,mon,100to179,gt2,no,no
lt30,student,single,secondary,yes,no,telephone,summer,fri,100to179,eq1,no,no
40to49,selfemployed,single,tertiary,no,no,cellular,summer,mon,180to319,eq1,no,no
30to39,housemaid,married,primary,no,no,telephone,spring,mon,ge320,gt2,no,no
ge50,admin,married,tertiary,no,no,cellular,summer,wed,lt100,gt2,no,no
30to39,selfemployed,married,tertiary,no,no,telephone,summer,mon,100to179,gt2,no,no
30to39,admin,married,tertiary,yes,no,telephone,spring,wed,100to179,eq2,no,no
ge50,technician,single,tertiary,yes,no,cellular,summer,thu,ge320,eq2,no,no
ge50,admin,married,tertiary,no,no,cellular,summer,mon,180to319,eq1,yes,yes
40to49,entrepreneur,married,tertiary,no,no,telephone,summer,mon,lt100,eq1,no,no
lt30,admin,single,primary,yes,yes,cellular,spring,thu,100to179,eq2,no,no
30to39,entrepreneur,married,tertiary,no,no,cellular,spring,wed,100to179,eq1,no,no
ge50,technician,married,tertiary,yes,no,telephone,summer,tue,180to319,eq2,no,no
lt30,bluecollar,married,primary,yes,no,telephone,summer,mon,180to319,eq1,no,no
40to49,housemaid,divorced,primary,yes,no,cellular,summer,wed,100to179,eq2,no,no
ge50,admin,married,tertiary,yes,no,cellular,summer,wed,ge320,gt2,no,yes
40to49,bluecollar,married,primary,no,no,cellular,summer,fri,ge320,gt2,no,yes
ge50,bluecollar,married,primary,yes,no,telephone,summer,tue,lt100,eq1,no,no
lt30,unemployed,single,tertiary,yes,no,cellular,spring,tue,100to179,gt2,no,no
ge50,admin,married,secondary,no,no,cellular,winter,fri,180to319,eq2,no,no
30to39,unemployed,married,tertiary,no,no,cellular,autum,thu,ge320,eq1,yes,yes
30to39,admin,single,secondary,yes,no,cellular,summer,fri,180to319,eq2,no,no
30to39,admin,married,secondary,yes,yes,cellular,summer,mon,lt100,eq2,no,no
30to39,admin,single,tertiary,yes,yes,cellular,spring,tue,100to179,eq1,no,no
lt30,technician,single,tertiary,no,no,cellular,autum,fri,ge320,eq1,yes,yes
30to39,admin,married,tertiary,yes,no,telephone,spring,tue,ge320,eq1,no,no
ge50,bluecollar,married,primary,no,no,telephone,summer,tue,180to319,gt2,no,no
ge50,management,single,tertiary,no,yes,cellular,spring,fri,100to179,eq1,no,no
ge50,admin,divorced,tertiary,no,no,telephone,autum,wed,lt100,eq1,no,no
30to39,selfemployed,married,primary,yes,no,cellular,spring,mon,ge320,gt2,yes,no
30to39,technician,single,secondary,yes,no,telephone,autum,tue,180to319,gt2,no,no
lt30,services,married,tertiary,yes,no,cellular,spring,thu,lt100,eq1,no,no
40to49,services,married,tertiary,yes,no,cellular,spring,mon,180to319,eq1,no,no
30to39,bluecollar,married,primary,no,yes,telephone,spring,tue,100to179,eq1,no,no
lt30,admin,single,secondary,no,no,telephone,summer,thu,100to179,eq1,no,no
30to39,bluecollar,married,secondary,no,no,cellular,summer,thu,ge320,gt2,no,no
30to39,bluecollar,married,secondary,yes,no,cellular,spring,tue,ge320,eq1,no,no
30to39,admin,married,tertiary,yes,no,cellular,summer,thu,lt100,eq1,no,no
30to39,bluecollar,married,primary,yes,no,cellular,spring,tue,180to319,eq1,yes,no
40to49,technician,married,tertiary,no,no,cellular,summer,mon,lt100,eq2,no,no
30to39,admin,married,tertiary,yes,no,cellular,summer,thu,100to179,eq2,no,no
30to39,management,single,secondary,no,no,cellular,spring,mon,100to179,eq2,no,no
40to49,bluecollar,married,primary,yes,no,telephone,summer,wed,180to319,eq2,no,no
30to39,technician,married,tertiary,no,no,cellular,spring,fri,ge320,eq1,yes,yes
30to39,housemaid,single,tertiary,no,yes,cellular,summer,wed,100to179,eq2,no,no
30to39,admin,single,tertiary,yes,no,cellular,spring,mon,lt100,gt2,yes,no
30to39,bluecollar,married,secondary,yes,no,telephone,spring,tue,100to179,eq1,no,no
ge50,bluecollar,married,primary,yes,no,telephone,summer,tue,lt100,eq1,no,no
30to39,management,married,tertiary,yes,no,cellular,autum,thu,100to179,eq2,no,no
30to39,bluecollar,single,primary,no,no,telephone,summer,thu,lt100,gt2,no,no
40to49,admin,married,tertiary,no,no,cellular,autum,fri,lt100,eq2,yes,no
40to49,selfemployed,married,tertiary,no,no,telephone,spring,tue,ge320,eq1,no,no
ge50,retired,single,secondary,yes,no,telephone,spring,mon,ge320,eq1,no,no
lt30,services,single,secondary,yes,no,cellular,spring,mon,ge320,eq1,no,no
40to49,technician,married,primary,yes,no,cellular,autum,thu,ge320,gt2,no,no
